Level,Context,Sub-Context,Person,Text,Spanish
A1,Ordering food and drink,Takeaway,A,Hi there. Do you have a table for 2?,
,,,B,Good evening. Do you have a 'reservation' with us?,reservación
,,,A,I'm sorry I don't. ,
,,,B,I'm afraid we're very busy tonight so there are no free tables. Would you like to wait or come back later?,
,,,A,How long is the 'wait' for a table? I am very hungry. ,espera
,,,B,It is 'about' one hour. I'm sorry about that. Would you like to order your food for 'takeaway' instead? ,sobre / llevar 
,,,A,Yes please. I will have two burgers and two portions of fries. Oh and two large drinks. Thank you very much.,
,,,B,No problem. Your food should be here soon. Have a nice evening!,
,,,A,You too. ,
A1,Exchanging personal information,Social Media,A,Hi Peter. How was your weekend?,
,,,B,Hi. It was good thank you. I met a nice girl.,
,,,A,Oh really? What is she like? Did you get her Snapchat?,
,,,B,She doesn't use Snapchat. She's very pretty. She has long brown hair and big green eyes. I like her. ,usa 
,,,A,I want to see her. What's her name? I'll look her up on Instagram. ,
,,,B,You can try. Her name is Natalia Black.,
,,,A,"I found her! Wow, she is beautiful. I'm happy for you!",
,,,B,I am happy too. And thank you. ,
A1,Going shopping and asking for prices,Payment,A,Hi there. May I pay for these items please?,
,,,B,"Hello, yes of course. Your total is £35. Will you be paying by cash or card?",en efectivo / con tarjeta
,,,A,"Card, please. ",
,,,B,No problem. You can insert or touch your card to the machine. ,insertar/ tocar
,,,A,Thank you. ,
,,,B,I'm sorry your card hasn't worked. Can you try again?,no ha funcionado
,,,A,I'm sorry about that. I will use my PIN.,PIN
,,,B,That is all done. Thank you for shopping with us. Have a good day!,
,,,A,Have a good day! Goodbye. ,
A1,Making Appointments,Booking,A,"Hello, can I make an appointment for tomorrow. ",cita
,,,B,"No problem, what time would you like to book?",reservar
,,,A,2pm.,
,,,B,"I'm sorry, that time is not available. We have 10am and 5pm.",disponible
,,,A,"Sorry, those times aren't good. Do you have 2pm the day after tomorrow?",
,,,B,"Yes, it's available. I will book that for you.",
,,,A,"Perfect, thank you.",
A1,Introductions,Repeat name,A,"Hello, my name is Danielle.",
,,,B,"Hello Danielle, my name is Michael.",
,,,A,"Sorry I didn't hear you, can you repeat that?",repetir
,,,B,My name is Michael.,
,,,A,Michael?,
,,,B,"Yes, it's Michael.",
,,,A,It's nice to meet you Michael.,
,,,B,It's nice to meet you too.,
A1,Basic employment issues,Cover,A,"Hello, is the manager there?","jefe,a"
,,,B,"They will arrive in an hour, do you want to call back or I can take a message?",llamar de nuevo  / darle el mensaje
,,,A,Can you tell them that I am sick and can't come to work today.,
,,,B,What's the matter?,
,,,A,I've got a cold.,Tengo un resfriado
,,,B,Did you find cover?,encontraste una sustituciÃ³n
,,,A,Not yet.,
,,,B,"Send a message in the group chat, hopefully someone can cover your shift.",EnvÃ­a un mensaje al grupo de chat / turno
,,,A,"I will do that now, thank you.",
,,,B,"Well, I hope you get well soon.",
,,,A,"Thank you, speak to you soon. Goodbye.",
,,,B,Goodbye.,
A1,Going shopping and asking for prices,Refund,A,Hello there. I would like a refund for these items please. ,reembolso / artículos
,,,B,"Hi there. Unfortunately, these items look like they have been used. I can offer an exchange or a gift voucher instead.",desgraciadamente / usados / intercambio / vale regalo
,,,A,That will not work. I want my money back.,
,,,B,We cannot offer a refund for used items. You can exchange it for another item or I can issue you a gift voucher. ,
,,,A,Fine. But I will take this up with your manager. ,"jefe,a"
,,,B,I am the manager. ,
,,,A,"Oh. Well, in that case I will just take the gift voucher. Thank you and have a good day. ",
,,,B,You too. Bye!  (phone conversation),
A2,Asking and giving directions,Delivery Driver,A,Hello there. Is this Mary?,
,,,B,"Hi, yes it is. Who's speaking?",
,,,A,"This is John, the delivery driver. I am having trouble finding your apartment. ","conductor,a de reparto  / tengo un problema"
,,,B,"Yes it can be a little tricky. Go past the big black gates, turn left at the statue and you should see my building. I live on the 4th floor so I would recommend taking the lift.",complicado / verjas / estatua / recomendaría / ascensor
,,,A,I can't see a statue. Are you sure it's correct?,
,,,B,"It is a big stone statue, round and grey in colour. ",piedra / redonda
,,,A,"Oh yes, I see it. I will be there soon. Goodbye!",
,,,B,See you soon. Goodbye!,
A2,Ordering food and drink,Vegan pizza,A,Hi excuse me? I think I have the wrong order. ,pedido incorrecto
,,,B,"Hi there, what seems to be the problem?",
,,,A,I asked for a vegan pizza and this seems to have cheese and meat all over it.,vegana
,,,B,I'm so sorry about that there must have been a mix up. I will bring you a new one immediately. ,confusión
,,,A,That is not good enough. My friends and I have been waiting over an hour already. I want a new pizza and my money back.,Eso no es suficiente / esperando sobre
,,,B,I will see if I can get that done for you. And please accept our sincere apologies.,acepte nuestras más sinceras disculpas 
,,,A,"Apology accepted. Now please hurry up, I am starving. ","dese prisa / muerto,a de hambre"
,,,B,I will let the kitchen know and your pizza should be with you as soon as possible. ,cocina
,,,A,Thank you. ,
A1,Socialising in the country,Interview arrangements,A,Hi Derreck. How was your weekend?,
,,,B,"Hi Pete. Well, I actually secured a job interview for this admin role. I'm so excited!",conseguido una entrevista de trabajo / papel administrativo
,,,A,That is great news! Give me all the details.,
,,,B,"Well, the interview is at 10:00 tomorrow. The dress code is smart-casual so I need to wear a shirt and jeans. ",código de vestir / informal
,,,A,Will it be face-to-face or online?,presencial / en linea
,,,B,"Face-to-face so I need to be prepared. It's not far from here, only 3 stops on the no.32 bus. ",solo 3 paradas en la línea 32  de autobús
,,,A,"Good luck, my friend I will be thinking of you. You will do great!",
,,,B,Thank you! I will let you know how it goes. ,haré saber
A2,Making Appointments,Dentist,A,"Hi there. I would like to book an appointment with my dentist, Clara. ",
,,,B,"Hi there, I'm sorry but Clara is not available at the moment. Could I put you down with someone else?",darle cita
,,,A,Clara has done my teeth for the past 10 years. She is very professional and I trust her. Where is she?,cuidado mis dientes / confío
,,,B,She is on holiday until the 22nd. I can book you in with Clara on the 30th.,
,,,A,That is too long to wait. Do you not have anything sooner?,antes
,,,B,Let me check for you. There is a cancellation on the 25th at 13:00. Would you like this appointment?,cancelación / cita
,,,A,Yes please. Thank you for that. I will see you then. Bye!,
,,,B,"No problem, Clara will see you then. Goodbye! ",
A1,Ordering food and drink,Coffee Order,A,Could I please have a regular decafe latte.,descafeinado con leche
,,,B,"We have no decafe, sorry about that.",
,,,A,"That's okay, I'll just have a regular latte then, and could I get that iced.",con hielo
,,,B,Yes.,
,,,A,"And, do you have sugar-free syrup?",almíbar sin azúcar 
,,,B,"We have sugar-free caramel, vanilla and hazelnut.",
,,,A,"Could I get the sugar-free vanilla please, and could I get that with oat milk please.",leche de avena
,,,B,Is that to have in or to go?,Es para tomar aquí o para llevar
,,,A,To go please.,
A1,Making Appointments,Spelling your name,A,"Hello, can I make an appointment for tomorrow.",
,,,B,We're booked for the next week unfortunately.,hemos reservado
,,,A,Can I book for next week Tuesday then?,
,,,B,"Of course, what time?",
,,,A,at 10am please.,
,,,B,What's your name?,
,,,A,Jessica Taylor,
,,,B,Can you spell that for me?,
,,,A,"Yes, J E S S I C A, T A Y L O R.",
,,,B,"That's all done for you, see you next week.",
,,,A,"Thank you, see you then.",
A1,Basic employment issues,Inteview,A,"Good afternoon, how can I help you?",
,,,B,"Good afternoon, I have an interview here today.",entrevista
,,,A,What time is the interview?,
,,,B,at 13:30.,
,,,A,With who?,
,,,B,it's with Johnathan.,
,,,A,"Johnathan works in the other building, it's not far.",
,,,B,How do I get there?,
,,,A,If you go right when you leave the building and then turn left. Best of luck with the interview.,derecha/Gire a la izquierda
,,,B,Thank you very much.,
A1,Ordering food and drink,Water for table,A,"Good evening, how is it going?",
,,,B,Excellent thanks.,
,,,A,Can I get you some drinks while you look at the menu?,
,,,B,"Yes, can we get tap water for the table and two lemonades.",agua del grifo
,,,A,I'll get that for you now. Is this your daughter? She's beautiful.,
,,,B,"Actually, she's my wife.",
,,,A,"Of course, excuse me, I'll get your drinks.",
A2,Ordering food and drink,Reservation,A,Hi there. Do you have a table for 4?,
,,,B,Good evening. Do you have a reservation with us?,reservación
,,,A,"Yes, I do, for 8 pm",
,,,B,What is your name?,
,,,A,It's Jones.,
,,,B,"Ok, I can see your booking. I am sorry, the table isn't ready yet. It will be about 30 minutes. ",
,,,A,"I'm sorry, but I booked the table for 8pm - and it is now 8pm. ",
,,,B,"I do understand, but the people who booked the table at 6pm have not finished their meal. ",
,,,A,"Well, I suggest that you ask them to hurry up. We are going to sit down. ",
,,,B,May I ask you to wait in the bar while I get your table ready. ,
,,,A,Ha! That's a typical trick! You delay the table and ask me to wait in the bar so that I have to buy some drinks!,demora
,,,B,That is not what I intended. I am sorry that your table is not ready. Please can you wait in the bar. May I get you a drink on the house?,destinado/ en la casa
,,,A,That sounds more like it. ,
A2,Going shopping and asking for prices,Payment,A,Hi there. May I pay for these items please?,
,,,B,"Hello, yes of course. Your total is £35. Will you be paying by cash or card?",en efectivo / con tarjeta
,,,A,"Card, please. ",
,,,B,No problem. You can insert or touch your card to the machine. ,insertar/ tocar
,,,A,Thank you. ,
,,,B,I'm sorry your card hasn't worked. Can you try again?,no ha funcionado
,,,A,Let me try another card. Here it is!,
,,,B,"I'm sorry, but this card hasn't worked either. ",
,,,A,How embarassing. I will go and get some cash from the bank. ,
,,,B,Ok. No problem. I can hold onto your shopping for 30 minutes. ,
,,,A,I will be back as soon as possible. ,
B1,Going shopping and asking for prices,Payment,A,Hi there. May I pay for these items please?,
,,,B,"Hello, yes of course. Your total is £255. Will you be paying by cash or card?",en efectivo / con tarjeta
,,,A,Â£255! Are you sure? ,
,,,B,"Yes. You have bought 2 pairs of trousers at £65 each, and a jumper - that's £125. That's £255 in total. ",
,,,A,Oh. That is too much. I will only buy one of the pairs of trousers. ,
,,,B,Which one - the blue or the black. ,
,,,A,The blue. I'm so sorry about this. ,
,,,B,"Not a problem. Right, so, that's one pair of trousers at £65 and a jumper at £125. So, £190 please.",
,,,A,Ok. Here's my card. ,
,,,B,"Right, please can you insert your card. Oh, I'm sorry, the payment has not been authorised. ",autorizado
,,,A,Oh dear. I think I'll leave it. Bye. ,
A1,Ordering food and drink,Reservation,A,Hi there. Do you have a table for 4?,
,,,B,Good evening. Do you have a reservation with us?,reservación
,,,A,I'm sorry I don't. ,
,,,B,I'm afraid we're very busy tonight so there are no free tables. Would you like to wait or come back later?,
,,,A,How long is the wait for a table? ,espera
,,,B,It is about one hour. I'm sorry about that. Are you happy to wait at the bar? ,sobre
,,,A,"Yes, no problem at all. We know this restaurant is popular. ",
,,,B,I need to book you in. What is your name?,
,,,A,Smith.,
,,,B,Great. You are booked in for 9 o'clock. The bar is over there. I will call you when your table is ready. ,
A1,Asking and giving directions,Delivery Driver,A,Hello there. Is this John?,
,,,B,"Hi, yes it is. Who's speaking?",
,,,A,"This is Anna, the delivery driver. I am having trouble finding your house. ",Conductora de entrega/ teniendo problemas
,,,B,Where are you right now?,
,,,A,I'm parked outside the train station. The train station is on my left. ,
